,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Brahmaputra_Valley_semi_evergreen_forests.wkt,0.44580675643751483,1.001437908496732,-0.31001031991744066,2.2375288745635236,0.5726998491704375,-0.5344093735054998,1.3338548185231538,0.9443137254901961,-0.17015729368670543,0.7723912553527157,-0.16928921568627453,0.3680627350362852,0.1897935409457901,0.42111111111111116,0.3273783587509078,0.24530877299373355,0.45229779411764703,1.1309807858886527,0.018529303910783237,0.4814325148263393,0.6711816287582658,0.6922353036419238,0.957843137254902,0.5173202614379084,0.09693661026054258
Western_Himalayan_broadleaf_forests.wkt,-0.9789779808890734,1.0544061302681995,-0.7076225045372051,3.522342938119981,-0.07503315649867374,-2.0177460050462575,1.9111885546588405,-0.5846247464503043,-1.286661614247821,-0.2946095917558462,-1.9193103448275863,0.08771611628438507,0.03985598377281947,0.5640229885057471,0.20239463601532567,0.055783860646996086,0.7607489224137931,0.3884434288879656,0.05026175031296233,0.2003113558431685,0.8304900212574398,0.4654712567384216,1.096551724137931,0.3293103448275862,1.6320996693434104
Northeast_Himalayan_subalpine_conifer_forests.wkt,-1.9287079351890317,1.7955172413793106,-0.31778584392014514,3.419494567784601,-0.8344993368700265,-3.3107653490328013,2.198881144534116,-0.9950912778904667,-2.5159530125047365,-1.1672810146650812,-2.831099137931034,-0.029013219496730146,-0.028875253549695737,0.09080459770114942,0.44192209450830133,-0.009257020974049058,0.1001885775862069,0.31533894197479573,0.0036407951139941575,0.11621181964326724,0.7248263973307018,0.43465276978634027,0.8923611111111112,0.2443576388888889,2.7776428908833255
South_Western_Ghats_montane_rain_forests.wkt,0.37910667058477815,0.6892682926829269,0.577150192554557,0.2812211827597728,0.42863508442776743,0.27644259369422963,0.4671250648676699,0.34843615494978475,0.37266148485660683,0.4229885057471265,0.3547560975609756,0.37035153866612436,0.28982352941176476,0.4382926829268292,0.3654245709123758,0.2810592154890621,0.4996951219512195,0.28944068958761876,0.25633904853900025,0.39794980423202386,0.6969833290091272,0.638861796371336,1.0,0.34613821138211387,0.5526227865018376
Narmada_Valley_dry_deciduous_forests.wkt,0.6403279785809906,1.744074074074074,-0.32207602339181285,2.4627302130898023,1.3994123931623932,-0.4630081300813008,2.1862293144208036,0.7877124183006537,0.7706043956043956,1.1471902937420178,0.0794097222222222,0.06266659539590905,0.09350816993464052,0.06537037037037037,0.7952674897119342,0.11032431271477663,0.10705295138888889,0.052476572958500674,0.007736676445422319,0.037336157255012034,0.9217105438770535,0.9590370506710476,1.2138888888888888,0.41180555555555554,0.30442161339421614
Mizoram_Manipur_Kachin_rain_forests.wkt,0.33515394912985275,1.0937283950617283,-0.17614035087719299,1.7017534246575343,0.5421794871794872,-0.5379945799457995,1.3032151300236405,0.692,-0.1737728937728938,0.5383908045977012,-0.15649999999999997,0.3264561803625306,0.18337777777777778,0.2208888888888889,0.40775720164609053,0.24776918671248568,0.3032465277777778,0.9050490852298081,0.010715071507150715,0.44494577560029597,0.6374369060439511,0.6646575374690366,0.9965753424657534,0.6092085235920852,0.36522983257229835
Khathiar_Gir_dry_deciduous_forests.wkt,0.6878480530205179,1.7639523530560437,-0.3339191564147627,2.7232804487565305,1.3709612004866838,-0.5310986326031977,2.2141494970646525,0.9469244288224955,0.5206937175302728,1.196836555360281,0.01550966608084359,0.01243605829371794,0.06399772562803681,0.02337434094903339,0.9068704029160973,0.07309079049879515,0.05161192882249561,0.06605508148587319,0.0029697170068500697,-0.013049575754754537,0.937742393752394,0.8455204830950462,1.1368421052631579,0.43216374269005847,0.22703917327565484
Aravalli_west_thorn_scrub_forests.wkt,0.6782003012048192,2.002118055555555,-0.42828947368421044,3.7677493578767125,1.4611628605769231,-0.8695503048780487,2.6091921542553194,1.2889522058823528,0.2738324175824176,1.3203663793103448,-0.292578125,-0.07915196707290999,-0.032951286764705885,0.07328125,0.6770399305555556,-0.03013208762886598,0.1164306640625,0.07768417419678715,0.00834493605610561,-0.07690238509099896,1.01126485898275,0.9667732576423315,0.9458259325044405,0.65748963883955,0.12609696061643832
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt,0.8737017033651848,0.19233716475095786,0.9237749546279492,-0.10651865847897969,0.5948275862068966,1.0492010092514719,-0.023110785033015408,0.8705882352941178,0.8116710875331566,0.7923107411811336,0.9413793103448276,0.2688652466582616,0.09898580121703852,1.3022988505747128,0.11462324393358875,0.12709740490579452,1.165948275862069,0.3089945990859992,0.09619324001365653,0.17959886702901323,0.0,0.0,0.0,0.0,0.015015220700152206
East_Deccan_moist_deciduous_forests.wkt,0.7124112889915828,1.3319330289193303,-0.43467916366258114,2.166984424845187,1.2984720758693362,-0.20935516204477111,1.853278927426406,0.840467365028203,0.19914195393647452,1.1439143441977642,0.209708904109589,0.10928179578877692,0.09519742143432716,0.12547945205479452,0.6246829020801623,0.12384903262251096,0.18131421232876713,0.15747923199647906,0.008780912337809123,0.09896629436551353,0.8821737799611271,0.7285296871237559,0.8924657534246575,0.4894977168949771,0.2568493150684932
East_Deccan_dry_evergreen_forests.wkt,1.0309379480343084,0.79526791927627,0.13569937369519833,1.1272599879886749,1.1017143086558534,0.7546209073781761,0.7946741882467908,0.855163944492202,0.831769483126477,1.1747174429486718,0.7857254697286012,0.07162220130224617,0.042895738671251384,0.3231036882393876,0.34993814273563756,0.05467468738566171,0.3687043319415449,0.07969456112550409,0.07923433261906565,0.04378999176455502,0.8082511106855129,0.787583326763577,0.8177083333333334,0.6489583333333333,0.02482876712328767
