                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
East_Deccan_dry_evergreen_forests.wkt             	0.2653	0.1363	0.1013	0.3273	0.2644	0.2779	0.2501	0.1952	0.2631	0.3115	1.0000	0.3391	0.1697	0.0797	0.2380	0.2435	0.0980	0.3607	0.2585	0.2398	0.0890	0.2106	0.3041	0.1972	0.3417	0.0782	0.1528	0.3505	0.2461	0.2679	0.4058	0.1737	0.3752	0.3152	0.0944	0.1228	0.4795	0.1297	0.2959	0.4075	0.1830	0.6020	0.0746	0.2133	0.4950	0.4356	0.3233	0.1791
Central_Deccan_Plateau_dry_deciduous_forests.wkt  	0.3090	0.1556	0.1119	0.2472	0.4852	0.3156	0.4415	0.2851	0.1854	0.5541	0.3391	1.0000	0.1949	0.0871	0.3325	0.1752	0.1076	0.2958	0.4207	0.3919	0.0973	0.3115	0.5193	0.2215	0.3736	0.0852	0.1996	0.4747	0.2768	0.2836	0.3407	0.1968	0.2437	0.2079	0.1022	0.1370	0.4669	0.1496	0.4273	0.2658	0.2548	0.3650	0.0815	0.2726	0.3387	0.3997	0.4409	0.2195
Eastern_Himalayan_broadleaf_forests.wkt           	0.2770	0.3256	0.1884	0.1938	0.2070	0.2895	0.2093	0.1978	0.1428	0.2179	0.1697	0.1949	1.0000	0.1254	0.2610	0.1380	0.1766	0.1913	0.2262	0.1928	0.1463	0.2046	0.2137	0.5136	0.2254	0.1202	0.2136	0.1943	0.3038	0.2947	0.1938	0.6263	0.1632	0.1545	0.1644	0.2820	0.1875	0.2823	0.2369	0.1773	0.1864	0.1770	0.1128	0.3690	0.1831	0.2017	0.2289	0.4433
Central_Tibetan_Plateau_alpine_steppe.wkt         	0.0958	0.1555	0.2591	0.0852	0.0919	0.0969	0.0931	0.0965	0.0742	0.0913	0.0797	0.0871	0.1254	1.0000	0.0981	0.0728	0.2707	0.0844	0.0949	0.0907	0.3014	0.0953	0.0908	0.1138	0.0894	0.4046	0.1156	0.0872	0.0979	0.0989	0.0846	0.1203	0.0778	0.0758	0.2768	0.1785	0.0842	0.1638	0.0927	0.0814	0.0960	0.0815	0.4634	0.1079	0.0830	0.0862	0.0908	0.1209
Terai_Duar_savanna_and_grasslands.wkt             	0.4421	0.1927	0.1292	0.2123	0.3761	0.3823	0.4039	0.3507	0.1616	0.4152	0.2380	0.3325	0.2610	0.0981	1.0000	0.1543	0.1228	0.2364	0.4899	0.3615	0.1109	0.3907	0.4202	0.2885	0.3531	0.0958	0.2473	0.3269	0.3707	0.3084	0.2551	0.2641	0.1992	0.1789	0.1159	0.1632	0.2733	0.1856	0.5198	0.2112	0.3117	0.2620	0.0915	0.4684	0.2379	0.3205	0.4030	0.3162
Nicobar_Islands_rain_forests.wkt                  	0.1795	0.1162	0.0907	0.2669	0.1559	0.1851	0.1504	0.1305	0.3959	0.1713	0.2435	0.1752	0.1380	0.0728	0.1543	1.0000	0.0887	0.2215	0.1558	0.1459	0.0809	0.1375	0.1688	0.1566	0.1971	0.0714	0.1141	0.1758	0.1763	0.1857	0.2172	0.1436	0.2729	0.3246	0.0870	0.1075	0.2074	0.1096	0.1722	0.2830	0.1248	0.2195	0.0681	0.1513	0.2383	0.2059	0.1840	0.1385
Eastern_Himalayan_alpine_shrub_and_meadows.wkt    	0.1218	0.2261	0.6613	0.1085	0.1135	0.1252	0.1147	0.1160	0.0909	0.1137	0.0980	0.1076	0.1766	0.2707	0.1228	0.0887	1.0000	0.1065	0.1176	0.1104	0.2788	0.1154	0.1127	0.1563	0.1122	0.2249	0.1398	0.1074	0.1262	0.1298	0.1065	0.1665	0.0963	0.0935	0.4991	0.3189	0.1047	0.2300	0.1158	0.1021	0.1143	0.1003	0.2083	0.1405	0.1039	0.1072	0.1137	0.1613
North_Western_Ghats_montane_rain_forests.wkt      	0.2733	0.1461	0.1100	0.4485	0.2515	0.3183	0.2371	0.1824	0.2425	0.2871	0.3607	0.2958	0.1913	0.0844	0.2364	0.2215	0.1065	1.0000	0.2426	0.2214	0.0937	0.1970	0.2780	0.2273	0.3325	0.0821	0.1516	0.2852	0.2775	0.3265	0.6553	0.1967	0.4390	0.3158	0.1019	0.1359	0.3830	0.1373	0.2821	0.4496	0.1710	0.3488	0.0784	0.2291	0.4245	0.3424	0.3059	0.1910
Chhota_Nagpur_dry_deciduous_forests.wkt           	0.3536	0.1806	0.1234	0.2128	0.4965	0.3330	0.5547	0.3934	0.1651	0.5734	0.2585	0.4207	0.2262	0.0949	0.4899	0.1558	0.1176	0.2426	1.0000	0.4497	0.1073	0.4469	0.5836	0.2502	0.3569	0.0931	0.2518	0.3913	0.3020	0.2888	0.2655	0.2270	0.2023	0.1798	0.1113	0.1529	0.3070	0.1754	0.5114	0.2170	0.3405	0.2892	0.0887	0.3540	0.2547	0.3485	0.4191	0.2750
Rann_of_Kutch_seasonal_salt_marsh.wkt             	0.2720	0.1593	0.1155	0.1917	0.5216	0.2640	0.5957	0.4328	0.1533	0.4062	0.2398	0.3919	0.1928	0.0907	0.3615	0.1459	0.1104	0.2214	0.4497	1.0000	0.1006	0.4573	0.4165	0.2092	0.2774	0.0886	0.2386	0.3717	0.2415	0.2363	0.2437	0.1913	0.1883	0.1658	0.1041	0.1395	0.2890	0.1567	0.3659	0.1995	0.3816	0.2605	0.0852	0.2758	0.2374	0.2908	0.3226	0.2257
