                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
North_Western_Ghats_moist_deciduous_forests.wkt   	0.2916	0.1475	0.1101	0.4100	0.2784	0.3381	0.2610	0.1958	0.2372	0.3226	0.4058	0.3407	0.1938	0.0846	0.2551	0.2172	0.1065	0.6553	0.2655	0.2437	0.0940	0.2119	0.3108	0.2307	0.3665	0.0823	0.1582	0.3231	0.2891	0.3354	1.0000	0.1985	0.4083	0.3029	0.1016	0.1361	0.4678	0.1390	0.3137	0.4439	0.1825	0.3951	0.0786	0.2408	0.4929	0.3899	0.3440	0.1968
Northern_Triangle_temperate_forests.wkt           	0.2952	0.2987	0.1763	0.2006	0.2070	0.3037	0.2085	0.1948	0.1484	0.2204	0.1737	0.1968	0.6263	0.1203	0.2641	0.1436	0.1665	0.1967	0.2270	0.1913	0.1406	0.2036	0.2160	0.5120	0.2358	0.1160	0.2065	0.1954	0.3304	0.3016	0.1985	1.0000	0.1687	0.1605	0.1567	0.2550	0.1902	0.2606	0.2422	0.1828	0.1829	0.1808	0.1088	0.3680	0.1866	0.2066	0.2354	0.4166
Malabar_Coast_moist_forests.wkt                   	0.2330	0.1287	0.0990	0.4181	0.2063	0.2533	0.1968	0.1591	0.3008	0.2334	0.3752	0.2437	0.1632	0.0778	0.1992	0.2729	0.0963	0.4390	0.2023	0.1883	0.0861	0.1704	0.2286	0.1899	0.2801	0.0759	0.1326	0.2436	0.2330	0.2540	0.4083	0.1687	1.0000	0.4667	0.0930	0.1201	0.3171	0.1214	0.2341	0.5018	0.1506	0.3347	0.0726	0.1903	0.3794	0.2984	0.2537	0.1627
Andaman_Islands_rain_forests.wkt                  	0.2130	0.1234	0.0959	0.3651	0.1794	0.2276	0.1726	0.1441	0.3779	0.2030	0.3152	0.2079	0.1545	0.0758	0.1789	0.3246	0.0935	0.3158	0.1798	0.1658	0.0840	0.1535	0.1996	0.1786	0.2483	0.0741	0.1232	0.2097	0.2140	0.2302	0.3029	0.1605	0.4667	1.0000	0.0909	0.1156	0.2604	0.1162	0.2060	0.4116	0.1374	0.2871	0.0707	0.1742	0.3129	0.2592	0.2216	0.1521
Western_Himalayan_alpine_shrub_and_meadows.wkt    	0.1160	0.2147	0.4363	0.1046	0.1074	0.1188	0.1082	0.1093	0.0888	0.1079	0.0944	0.1022	0.1644	0.2768	0.1159	0.0870	0.4991	0.1019	0.1113	0.1041	0.3203	0.1092	0.1069	0.1469	0.1073	0.2438	0.1310	0.1025	0.1199	0.1235	0.1016	0.1567	0.0930	0.0909	1.0000	0.2751	0.1000	0.2169	0.1100	0.0984	0.1074	0.0964	0.2127	0.1317	0.0996	0.1027	0.1083	0.1517
Eastern_Himalayan_subalpine_conifer_forests.wkt   	0.1637	0.3614	0.3555	0.1389	0.1454	0.1701	0.1470	0.1462	0.1106	0.1473	0.1228	0.1370	0.2820	0.1785	0.1632	0.1075	0.3189	0.1359	0.1529	0.1395	0.2098	0.1466	0.1454	0.2339	0.1465	0.1636	0.1754	0.1369	0.1722	0.1782	0.1361	0.2550	0.1201	0.1156	0.2751	1.0000	0.1331	0.3342	0.1521	0.1289	0.1420	0.1264	0.1515	0.1977	0.1317	0.1378	0.1488	0.2380
Deccan_thorn_scrub_forests.wkt                    	0.2919	0.1476	0.1085	0.3198	0.3345	0.3182	0.3082	0.2231	0.2220	0.3892	0.4795	0.4669	0.1875	0.0842	0.2733	0.2074	0.1047	0.3830	0.3070	0.2890	0.0938	0.2406	0.3699	0.2195	0.3732	0.0822	0.1709	0.4176	0.2716	0.3033	0.4678	0.1902	0.3171	0.2604	0.1000	0.1331	1.0000	0.1404	0.3498	0.3682	0.2052	0.4644	0.0785	0.2440	0.5411	0.4438	0.3885	0.2001
Western_Himalayan_subalpine_conifer_forests.wkt   	0.1787	0.5905	0.2529	0.1383	0.1635	0.1787	0.1667	0.1737	0.1122	0.1638	0.1297	0.1496	0.2823	0.1638	0.1856	0.1096	0.2300	0.1373	0.1754	0.1567	0.2139	0.1740	0.1618	0.2333	0.1578	0.1618	0.2326	0.1513	0.1815	0.1820	0.1390	0.2606	0.1214	0.1162	0.2169	0.3342	0.1404	1.0000	0.1687	0.1304	0.1678	0.1346	0.1457	0.2217	0.1358	0.1482	0.1626	0.2963
Lower_Gangetic_Plains_moist_deciduous_forests.wkt 	0.4791	0.1767	0.1212	0.2462	0.4145	0.4343	0.4182	0.3065	0.1816	0.5511	0.2959	0.4273	0.2369	0.0927	0.5198	0.1722	0.1158	0.2821	0.5114	0.3659	0.1046	0.3456	0.5352	0.2744	0.4850	0.0906	0.2158	0.4129	0.3862	0.3441	0.3137	0.2422	0.2341	0.2060	0.1100	0.1521	0.3498	0.1687	1.0000	0.2507	0.2718	0.3329	0.0864	0.3782	0.2920	0.4333	0.6047	0.2728
South_Western_Ghats_moist_deciduous_forests.wkt   	0.2510	0.1390	0.1051	0.5602	0.2222	0.2809	0.2106	0.1681	0.3101	0.2534	0.4075	0.2658	0.1773	0.0814	0.2112	0.2830	0.1021	0.4496	0.2170	0.1995	0.0906	0.1794	0.2454	0.2103	0.3012	0.0793	0.1417	0.2624	0.2499	0.2886	0.4439	0.1828	0.5018	0.4116	0.0984	0.1289	0.3682	0.1304	0.2507	1.0000	0.1580	0.3511	0.0756	0.2062	0.5079	0.3228	0.2767	0.1771
Thar_desert.wkt                                   	0.2284	0.1656	0.1202	0.1549	0.3119	0.2142	0.3520	0.5985	0.1307	0.2799	0.1830	0.2548	0.1864	0.0960	0.3117	0.1248	0.1143	0.1710	0.3405	0.3816	0.1066	0.4571	0.2891	0.1911	0.2161	0.0943	0.2972	0.2522	0.2058	0.1947	0.1825	0.1829	0.1506	0.1374	0.1074	0.1420	0.2052	0.1678	0.2718	0.1580	1.0000	0.1978	0.0909	0.2544	0.1794	0.2189	0.2397	0.2258
Godavari_Krishna_mangroves.wkt                    	0.2865	0.1411	0.1039	0.3015	0.2850	0.2980	0.2724	0.2104	0.2412	0.3527	0.6020	0.3650	0.1770	0.0815	0.2620	0.2195	0.1003	0.3488	0.2892	0.2605	0.0912	0.2287	0.3473	0.2059	0.3819	0.0800	0.1607	0.3912	0.2609	0.2839	0.3951	0.1808	0.3347	0.2871	0.0964	0.1264	0.4644	0.1346	0.3329	0.3511	0.1978	1.0000	0.0763	0.2291	0.4256	0.5415	0.3550	0.1887
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	0.0889	0.1376	0.2032	0.0787	0.0860	0.0894	0.0872	0.0911	0.0694	0.0852	0.0746	0.0815	0.1128	0.4634	0.0915	0.0681	0.2083	0.0784	0.0887	0.0852	0.2557	0.0898	0.0849	0.1031	0.0833	0.4084	0.1086	0.0816	0.0904	0.0907	0.0786	0.1088	0.0726	0.0707	0.2127	0.1515	0.0785	0.1457	0.0864	0.0756	0.0909	0.0763	1.0000	0.0993	0.0772	0.0805	0.0846	0.1103
Himalayan_subtropical_broadleaf_forests.wkt       	0.4300	0.2367	0.1486	0.2167	0.2986	0.4145	0.3091	0.2789	0.1581	0.3251	0.2133	0.2726	0.3690	0.1079	0.4684	0.1513	0.1405	0.2291	0.3540	0.2758	0.1233	0.2968	0.3194	0.4102	0.3153	0.1046	0.2494	0.2681	0.4197	0.3545	0.2408	0.3680	0.1903	0.1742	0.1317	0.1977	0.2440	0.2217	0.3782	0.2062	0.2544	0.2291	0.0993	1.0000	0.2245	0.2749	0.3385	0.4465
South_Deccan_Plateau_dry_deciduous_forests.wkt    	0.2702	0.1437	0.1073	0.4029	0.2674	0.3021	0.2507	0.1924	0.2602	0.3078	0.4950	0.3387	0.1831	0.0830	0.2379	0.2383	0.1039	0.4245	0.2547	0.2374	0.0924	0.2054	0.2956	0.2167	0.3357	0.0809	0.1560	0.3258	0.2600	0.3021	0.4929	0.1866	0.3794	0.3129	0.0996	0.1317	0.5411	0.1358	0.2920	0.5079	0.1794	0.4256	0.0772	0.2245	1.0000	0.3860	0.3241	0.1884
Orissa_semi_evergreen_forests.wkt                 	0.3593	0.1560	0.1115	0.2986	0.3209	0.3707	0.3098	0.2358	0.2217	0.4335	0.4356	0.3997	0.2017	0.0862	0.3205	0.2059	0.1072	0.3424	0.3485	0.2908	0.0969	0.2580	0.4258	0.2387	0.4881	0.0844	0.1765	0.4216	0.3142	0.3368	0.3899	0.2066	0.2984	0.2592	0.1027	0.1378	0.4438	0.1482	0.4333	0.3228	0.2189	0.5415	0.0805	0.2749	0.3860	1.0000	0.4592	0.2183
Sundarbans_freshwater_swamp_forests.wkt           	0.4580	0.1716	0.1187	0.2693	0.3753	0.4381	0.3670	0.2697	0.1929	0.4963	0.3233	0.4409	0.2289	0.0908	0.4030	0.1840	0.1137	0.3059	0.4191	0.3226	0.1025	0.2971	0.4615	0.2694	0.5752	0.0888	0.1993	0.4027	0.3839	0.3556	0.3440	0.2354	0.2537	0.2216	0.1083	0.1488	0.3885	0.1626	0.6047	0.2767	0.2397	0.3550	0.0846	0.3385	0.3241	0.4592	1.0000	0.2575
Himalayan_subtropical_pine_forests.wkt            	0.3030	0.3250	0.1723	0.1885	0.2437	0.2967	0.2498	0.2449	0.1423	0.2517	0.1791	0.2195	0.4433	0.1209	0.3162	0.1385	0.1613	0.1910	0.2750	0.2257	0.1428	0.2545	0.2466	0.3948	0.2439	0.1177	0.2682	0.2193	0.3045	0.2860	0.1968	0.4166	0.1627	0.1521	0.1517	0.2380	0.2001	0.2963	0.2728	0.1771	0.2258	0.1887	0.1103	0.4465	0.1884	0.2183	0.2575	1.0000
