                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
North_Western_Ghats_moist_deciduous_forests.wkt   	0.7724	0.2918	0.1157	0.8911	0.8779	0.8173	0.8566	0.7744	0.4480	0.8747	0.9026	0.9194	0.4616	0.0555	0.7926	0.4751	0.0793	0.9858	0.8159	0.8594	0.0399	0.7902	0.8700	0.5476	0.8580	0.0289	0.6012	0.8738	0.7471	0.7819	1.0000	0.4689	0.8852	0.6889	0.0069	0.1978	0.9529	0.2984	0.8525	0.9144	0.7547	0.8925	0.0598	0.6968	0.9431	0.8877	0.8701	0.5573
Northern_Triangle_temperate_forests.wkt           	0.8428	0.9340	0.8537	0.4468	0.6605	0.8626	0.6800	0.7241	-0.1441	0.6630	0.2849	0.5663	0.9916	0.8275	0.8139	-0.0322	0.8335	0.4438	0.7180	0.6368	0.8295	0.7222	0.6542	0.9845	0.6858	0.8184	0.8247	0.5413	0.8917	0.8810	0.4689	1.0000	0.1593	-0.0138	0.8118	0.9012	0.4512	0.9242	0.7340	0.2824	0.7067	0.3537	0.8305	0.9243	0.3664	0.5459	0.7002	0.9598
Malabar_Coast_moist_forests.wkt                   	0.5545	-0.0720	-0.2655	0.8884	0.6036	0.5706	0.5724	0.4720	0.7031	0.6217	0.8720	0.6975	0.1239	-0.3284	0.5222	0.7230	-0.2968	0.9058	0.5336	0.5850	-0.3258	0.5035	0.6212	0.2270	0.6744	-0.3492	0.2356	0.6654	0.5249	0.5035	0.8852	0.1593	1.0000	0.9231	-0.3482	-0.1763	0.7990	-0.0770	0.6134	0.9444	0.4507	0.8127	-0.3280	0.3845	0.8517	0.7350	0.6523	0.2168
Andaman_Islands_rain_forests.wkt                  	0.4003	-0.2698	-0.4680	0.7735	0.3715	0.3884	0.3381	0.2465	0.8439	0.4115	0.7700	0.4939	-0.0715	-0.5294	0.3207	0.8543	-0.4945	0.7051	0.3169	0.3568	-0.5097	0.2838	0.4157	0.0360	0.5165	-0.5417	-0.0029	0.4613	0.3677	0.2981	0.6889	-0.0138	0.9231	1.0000	-0.5220	-0.3801	0.6227	-0.2840	0.4197	0.8573	0.2289	0.6902	-0.5320	0.1762	0.7131	0.5822	0.4665	0.0092
Western_Himalayan_alpine_shrub_and_meadows.wkt    	0.4031	0.9240	0.9889	0.0370	0.2902	0.4542	0.3137	0.3877	-0.5257	0.2622	-0.1990	0.1484	0.8448	0.9894	0.4213	-0.4078	0.9930	-0.0025	0.3479	0.2628	0.9767	0.3667	0.2482	0.7875	0.1991	0.9812	0.6250	0.1411	0.4711	0.5612	0.0069	0.8118	-0.3482	-0.5220	1.0000	0.9762	0.0159	0.9126	0.2996	-0.1788	0.3810	-0.1271	0.9812	0.6156	-0.0677	0.0764	0.2505	0.7592
Eastern_Himalayan_subalpine_conifer_forests.wkt   	0.5681	0.9585	0.9941	0.1887	0.4536	0.6220	0.4778	0.5412	-0.4461	0.4312	-0.0251	0.3249	0.9325	0.9825	0.5864	-0.3311	0.9891	0.1787	0.5073	0.4337	0.9586	0.5191	0.4189	0.8933	0.3768	0.9641	0.7303	0.3083	0.6320	0.7089	0.1978	0.9012	-0.1763	-0.3801	0.9762	1.0000	0.1975	0.9501	0.4754	-0.0121	0.5336	0.0508	0.9767	0.7571	0.1093	0.2569	0.4283	0.8588
Deccan_thorn_scrub_forests.wkt                    	0.7868	0.3319	0.1222	0.8197	0.9306	0.8105	0.9133	0.8532	0.4510	0.9289	0.9528	0.9763	0.4547	0.0748	0.8244	0.4721	0.0812	0.8967	0.8792	0.9201	0.0803	0.8576	0.9220	0.5380	0.8843	0.0658	0.6898	0.9456	0.7260	0.7680	0.9529	0.4512	0.7990	0.6227	0.0159	0.1975	1.0000	0.3494	0.8917	0.8910	0.8339	0.9466	0.0867	0.7162	0.9805	0.9367	0.9119	0.5934
Western_Himalayan_subalpine_conifer_forests.wkt   	0.7000	0.9969	0.9344	0.2452	0.6132	0.7195	0.6368	0.7056	-0.3223	0.6007	0.1657	0.4906	0.9452	0.9355	0.7255	-0.2160	0.9186	0.2583	0.6769	0.5891	0.9565	0.6936	0.5887	0.9130	0.5476	0.9482	0.8704	0.4985	0.7219	0.7771	0.2984	0.9242	-0.0770	-0.2840	0.9126	0.9501	0.3494	1.0000	0.6340	0.0917	0.6947	0.2501	0.9442	0.8500	0.2403	0.4411	0.5890	0.9446
Lower_Gangetic_Plains_moist_deciduous_forests.wkt 	0.9648	0.6145	0.4009	0.6725	0.9628	0.9589	0.9712	0.9686	0.2345	0.9807	0.8148	0.9509	0.7285	0.3717	0.9862	0.2697	0.3556	0.7882	0.9831	0.9647	0.3875	0.9730	0.9796	0.7791	0.9799	0.3735	0.8677	0.9407	0.9224	0.9065	0.8525	0.7340	0.6134	0.4197	0.2996	0.4754	0.8917	0.6340	1.0000	0.6867	0.9560	0.8739	0.3944	0.9275	0.8098	0.9565	0.9888	0.8389
South_Western_Ghats_moist_deciduous_forests.wkt   	0.6273	0.0987	-0.0982	0.9562	0.7075	0.6571	0.6729	0.5816	0.7037	0.7114	0.9151	0.7922	0.2593	-0.1664	0.6020	0.7559	-0.1290	0.9073	0.6284	0.6817	-0.1636	0.5981	0.7028	0.3662	0.7229	-0.1895	0.3875	0.7438	0.5885	0.6105	0.9144	0.2824	0.9444	0.8573	-0.1788	-0.0121	0.8910	0.0917	0.6867	1.0000	0.5535	0.8411	-0.1707	0.4944	0.9513	0.7866	0.7323	0.3612
Thar_desert.wkt                                   	0.8925	0.6603	0.4827	0.5259	0.9566	0.8900	0.9747	0.9954	0.1296	0.9620	0.7336	0.9155	0.7227	0.4690	0.9631	0.1139	0.4395	0.6764	0.9847	0.9758	0.4748	0.9867	0.9642	0.7579	0.8975	0.4729	0.9334	0.9217	0.8299	0.8483	0.7547	0.7067	0.4507	0.2289	0.3810	0.5336	0.8339	0.6947	0.9560	0.5535	1.0000	0.8154	0.4962	0.9116	0.7348	0.9018	0.9197	0.8425
Godavari_Krishna_mangroves.wkt                    	0.7679	0.2254	-0.0263	0.7313	0.8706	0.7557	0.8627	0.8197	0.5285	0.9019	0.9811	0.9270	0.3462	-0.0608	0.8014	0.5233	-0.0735	0.8353	0.8558	0.8788	-0.0297	0.8337	0.9063	0.4313	0.8846	-0.0517	0.6145	0.9344	0.6804	0.6904	0.8925	0.3537	0.8127	0.6902	-0.1271	0.0508	0.9466	0.2501	0.8739	0.8411	0.8154	1.0000	-0.0392	0.6542	0.9178	0.9689	0.8804	0.5118
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	0.4746	0.9432	0.9885	0.0141	0.3821	0.5129	0.4144	0.4974	-0.5437	0.3583	-0.1323	0.2383	0.8686	0.9982	0.5144	-0.4553	0.9857	0.0342	0.4515	0.3692	0.9835	0.4718	0.3474	0.8103	0.2869	0.9934	0.7143	0.2384	0.5246	0.5982	0.0598	0.8305	-0.3280	-0.5320	0.9812	0.9767	0.0867	0.9442	0.3944	-0.1707	0.4962	-0.0392	1.0000	0.6849	-0.0218	0.1668	0.3386	0.8090
Himalayan_subtropical_broadleaf_forests.wkt       	0.9576	0.8409	0.6967	0.5702	0.8743	0.9695	0.8934	0.9215	0.0129	0.8838	0.5784	0.8132	0.9278	0.6702	0.9705	0.0790	0.6612	0.6440	0.9194	0.8704	0.6708	0.9175	0.8799	0.9485	0.8773	0.6625	0.9249	0.7976	0.9573	0.9554	0.6968	0.9243	0.3845	0.1762	0.6156	0.7571	0.7162	0.8500	0.9275	0.4944	0.9116	0.6542	0.6849	1.0000	0.6224	0.8005	0.8961	0.9701
South_Deccan_Plateau_dry_deciduous_forests.wkt    	0.7119	0.2301	0.0314	0.8780	0.8534	0.7421	0.8288	0.7563	0.5640	0.8506	0.9562	0.9191	0.3654	-0.0262	0.7329	0.5903	-0.0054	0.8967	0.7851	0.8411	-0.0269	0.7596	0.8424	0.4610	0.8115	-0.0438	0.5789	0.8796	0.6537	0.6995	0.9431	0.3664	0.8517	0.7131	-0.0677	0.1093	0.9805	0.2403	0.8098	0.9513	0.7348	0.9178	-0.0218	0.6224	1.0000	0.8836	0.8402	0.4925
Orissa_semi_evergreen_forests.wkt                 	0.8845	0.4197	0.1790	0.7229	0.9257	0.8735	0.9267	0.9074	0.4123	0.9605	0.9273	0.9530	0.5388	0.1449	0.9096	0.4388	0.1304	0.8254	0.9367	0.9369	0.1690	0.9144	0.9649	0.6139	0.9517	0.1483	0.7378	0.9534	0.8116	0.8161	0.8877	0.5459	0.7350	0.5822	0.0764	0.2569	0.9367	0.4411	0.9565	0.7866	0.9018	0.9689	0.1668	0.8005	0.8836	1.0000	0.9539	0.6824
Sundarbans_freshwater_swamp_forests.wkt           	0.9522	0.5749	0.3501	0.7123	0.9519	0.9449	0.9562	0.9420	0.2782	0.9712	0.8390	0.9591	0.6909	0.3176	0.9585	0.3328	0.3055	0.8070	0.9636	0.9457	0.3356	0.9455	0.9650	0.7480	0.9880	0.3181	0.8282	0.9340	0.9093	0.8902	0.8701	0.7002	0.6523	0.4665	0.2505	0.4283	0.9119	0.5890	0.9888	0.7323	0.9197	0.8804	0.3386	0.8961	0.8402	0.9539	1.0000	0.8087
Himalayan_subtropical_pine_forests.wkt            	0.8896	0.9416	0.8129	0.4762	0.7964	0.9018	0.8150	0.8584	-0.0989	0.7964	0.4369	0.7097	0.9672	0.7969	0.8989	0.0025	0.7844	0.5091	0.8483	0.7772	0.8136	0.8543	0.7867	0.9686	0.7801	0.8004	0.9277	0.7020	0.8969	0.9183	0.5573	0.9598	0.2168	0.0092	0.7592	0.8588	0.5934	0.9446	0.8389	0.3612	0.8425	0.5118	0.8090	0.9701	0.4925	0.6824	0.8087	1.0000
