                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
East_Deccan_dry_evergreen_forests.wkt             	0.7118	0.1487	-0.1059	0.8043	0.8261	0.7036	0.8075	0.7476	0.6285	0.8482	1.0000	0.9004	0.2722	-0.1480	0.7284	0.6390	-0.1493	0.8536	0.7860	0.8232	-0.1148	0.7629	0.8476	0.3676	0.8369	-0.1419	0.5363	0.8983	0.6267	0.6361	0.9026	0.2849	0.8720	0.7700	-0.1990	-0.0251	0.9528	0.1657	0.8148	0.9151	0.7336	0.9811	-0.1323	0.5784	0.9562	0.9273	0.8390	0.4369
Central_Deccan_Plateau_dry_deciduous_forests.wkt  	0.8568	0.4677	0.2555	0.7364	0.9789	0.8711	0.9725	0.9321	0.3321	0.9828	0.9004	1.0000	0.5699	0.2197	0.9033	0.3417	0.2129	0.8553	0.9548	0.9686	0.2307	0.9345	0.9770	0.6342	0.9367	0.2190	0.8054	0.9668	0.7991	0.8262	0.9194	0.5663	0.6975	0.4939	0.1484	0.3249	0.9763	0.4906	0.9509	0.7922	0.9155	0.9270	0.2383	0.8132	0.9191	0.9530	0.9591	0.7097
Eastern_Himalayan_broadleaf_forests.wkt           	0.8204	0.9520	0.8910	0.4219	0.6684	0.8512	0.6894	0.7367	-0.2099	0.6652	0.2722	0.5699	1.0000	0.8665	0.8123	-0.0962	0.8708	0.4303	0.7230	0.6499	0.8587	0.7282	0.6561	0.9905	0.6618	0.8527	0.8409	0.5505	0.8672	0.8863	0.4616	0.9916	0.1239	-0.0715	0.8448	0.9325	0.4547	0.9452	0.7285	0.2593	0.7227	0.3462	0.8686	0.9278	0.3654	0.5388	0.6909	0.9672
Central_Tibetan_Plateau_alpine_steppe.wkt         	0.4561	0.9380	0.9946	0.0279	0.3623	0.5020	0.3921	0.4710	-0.5441	0.3363	-0.1480	0.2197	0.8665	1.0000	0.4924	-0.4480	0.9936	0.0343	0.4264	0.3467	0.9808	0.4451	0.3248	0.8098	0.2636	0.9908	0.6912	0.2150	0.5124	0.5951	0.0555	0.8275	-0.3284	-0.5294	0.9894	0.9825	0.0748	0.9355	0.3717	-0.1664	0.4690	-0.0608	0.9982	0.6702	-0.0262	0.1449	0.3176	0.7969
Terai_Duar_savanna_and_grasslands.wkt             	0.9757	0.7067	0.5176	0.6180	0.9395	0.9725	0.9551	0.9699	0.1499	0.9556	0.7284	0.9033	0.8123	0.4924	1.0000	0.1833	0.4748	0.7307	0.9750	0.9454	0.5017	0.9713	0.9562	0.8501	0.9491	0.4913	0.9076	0.8977	0.9454	0.9278	0.7926	0.8139	0.5222	0.3207	0.4213	0.5864	0.8244	0.7255	0.9862	0.6020	0.9631	0.8014	0.5144	0.9705	0.7329	0.9096	0.9585	0.8989
Nicobar_Islands_rain_forests.wkt                  	0.2897	-0.1882	-0.4002	0.7063	0.2370	0.2571	0.1999	0.1371	0.9275	0.2727	0.6390	0.3417	-0.0962	-0.4480	0.1833	1.0000	-0.4179	0.4872	0.1919	0.2145	-0.3964	0.1651	0.2709	0.0102	0.3649	-0.4470	-0.0451	0.3145	0.2275	0.1832	0.4751	-0.0322	0.7230	0.8543	-0.4078	-0.3311	0.4721	-0.2160	0.2697	0.7559	0.1139	0.5233	-0.4553	0.0790	0.5903	0.4388	0.3328	0.0025
Eastern_Himalayan_alpine_shrub_and_meadows.wkt    	0.4468	0.9267	0.9983	0.0789	0.3503	0.5059	0.3759	0.4436	-0.5213	0.3213	-0.1493	0.2129	0.8708	0.9936	0.4748	-0.4179	1.0000	0.0661	0.4033	0.3302	0.9650	0.4178	0.3083	0.8193	0.2504	0.9754	0.6632	0.1957	0.5150	0.6065	0.0793	0.8335	-0.2968	-0.4945	0.9930	0.9891	0.0812	0.9186	0.3556	-0.1290	0.4395	-0.0735	0.9857	0.6612	-0.0054	0.1304	0.3055	0.7844
North_Western_Ghats_montane_rain_forests.wkt      	0.7194	0.2582	0.0983	0.9119	0.8154	0.7744	0.7895	0.6967	0.4534	0.8107	0.8536	0.8553	0.4303	0.0343	0.7307	0.4872	0.0661	1.0000	0.7470	0.7868	0.0163	0.7194	0.8061	0.5158	0.8026	0.0044	0.5314	0.8037	0.7090	0.7500	0.9858	0.4438	0.9058	0.7051	-0.0025	0.1787	0.8967	0.2583	0.7882	0.9073	0.6764	0.8353	0.0342	0.6440	0.8967	0.8254	0.8070	0.5091
Chhota_Nagpur_dry_deciduous_forests.wkt           	0.9237	0.6498	0.4469	0.6083	0.9779	0.9231	0.9886	0.9909	0.1827	0.9911	0.7860	0.9548	0.7230	0.4264	0.9750	0.1919	0.4033	0.7470	1.0000	0.9792	0.4435	0.9901	0.9900	0.7641	0.9481	0.4338	0.9168	0.9428	0.8696	0.8827	0.8159	0.7180	0.5336	0.3169	0.3479	0.5073	0.8792	0.6769	0.9831	0.6284	0.9847	0.8558	0.4515	0.9194	0.7851	0.9367	0.9636	0.8483
Rann_of_Kutch_seasonal_salt_marsh.wkt             	0.8783	0.5590	0.3728	0.6389	0.9882	0.8899	0.9935	0.9803	0.2182	0.9815	0.8232	0.9686	0.6499	0.3467	0.9454	0.2145	0.3302	0.7868	0.9792	1.0000	0.3463	0.9782	0.9799	0.7030	0.9183	0.3426	0.8767	0.9659	0.8165	0.8473	0.8594	0.6368	0.5850	0.3568	0.2628	0.4337	0.9201	0.5891	0.9647	0.6817	0.9758	0.8788	0.3692	0.8704	0.8411	0.9369	0.9457	0.7772
